,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,
Acesta,0,Mollusca,Bivalvia,Pectinida,Limidae,Acesta (Acesta),facultatively mobile,epifaunal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Aciculiscala,0,Mollusca,Gastropoda,0,Epitoniidae,Aciculiscala,slow-moving,low-level epifaunal,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,No
Acila,0,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila (Truncacila),facultatively mobile,infaunal,0,5,24,11,4,2,1,0,1,0,0,0,0,0,15,6,2,7,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Acirsa,0,Mollusca,Gastropoda,0,Epitoniidae,Acirsa (Hemiacirsa),slow-moving,low-level epifaunal,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,No
Acompsoceras,0,Mollusca,Cephalopoda,Ammonitida,Acanthoceratidae,Acompsoceras,fast-moving,nektonic,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Aconeceras,0,Mollusca,Cephalopoda,Ammonitida,Oppeliidae,Aconeceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Acrioceras,0,Mollusca,Cephalopoda,Ammonitida,Ancyloceratidae,Acrioceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Actaeonella,0,Mollusca,Gastropoda,Architectibranchia,Acteonellidae,Acteonella,actively mobile,epifaunal,0,27,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Acteon,0,Mollusca,Gastropoda,Architectibranchia,Acteonidae,Acteon,actively mobile,epifaunal,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Acteonella,0,Mollusca,Gastropoda,Architectibranchia,Acteonellidae,Acteonella,actively mobile,epifaunal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Actinosepia,0,Mollusca,Cephalopoda,Sepiida,Actinosepiidae,Actinosepia,fast-moving,nektobenthic,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,No
Actinostreon,0,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,"stationary, attached",0,0,0,0,0,0,0,1,16,1,0,0,0,0,4,0,0,0,0,0,0,16,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Acutostrea,0,Mollusca,Bivalvia,Ostreida,Ostreidae,Acutostrea,"stationary, attached",epifaunal,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Adkinsia,0,Mollusca,Cephalopoda,Ammonitida,Flickiidae,Adkinsia,fast-moving,nektonic,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Aenona,0,Mollusca,Bivalvia,Cardiida,Tellinidae,Aenona,facultatively mobile,infaunal,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Afrocypraea,0,Mollusca,Gastropoda,0,Cypraeidae,Afrocypraea,actively mobile,epifaunal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Agerostrea,Middle Campanian,Mollusca,Bivalvia,Ostreida,Ostreidae,Agerostrea,"stationary, attached",epifaunal,0,86,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Aioloceras,0,Mollusca,Cephalopoda,Ammonitida,Desmoceratidae,Aioloceras,fast-moving,nektonic,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Akera,0,Mollusca,Gastropoda,Cephalaspidea,Bullidae,Bulla (Akera),slow-moving,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
Alaria,0,Mollusca,Gastropoda,0,Aporrhaidae,Dicroloma,slow-moving,semi-infaunal,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Yes
Alarimella,0,Mollusca,Gastropoda,0,Aporrhaidae,Alarimella,slow-moving,semi-infaunal,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Yes
Aleteceras,0,Mollusca,Cephalopoda,Ammonitida,Labeceratidae,Aleteceras,fast-moving,nektonic,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Algericeras,0,Mollusca,Cephalopoda,Ammonitida,Brancoceratidae,Algericeras (Sakondryella),fast-moving,nektonic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Algerites,0,Mollusca,Cephalopoda,Ammonitida,Anisoceratidae,Algerites,fast-moving,nektonic,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Aliofusus,0,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Aliofusus,actively mobile,epifaunal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Allocrioceras,Late Turonian,Mollusca,Cephalopoda,Ammonitida,Anisoceratidae,Allocrioceras,fast-moving,nektonic,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Alzadites,0,Mollusca,Cephalopoda,Ammonitida,Acanthoceratidae,Alzadites,fast-moving,nektonic,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Amauropsis,0,Mollusca,Gastropoda,0,Naticidae,Amauropsis,actively mobile,semi-infaunal,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,No
Ambercyclus,Late Tithonian,Mollusca,Gastropoda,0,Eucyclidae,Ambercyclus,actively mobile,epifaunal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Ambigostrea,0,Mollusca,Bivalvia,Ostreida,Ostreidae,Ambigostrea,"stationary, attached",epifaunal,0,29,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Ammonites,0,Mollusca,Cephalopoda,Ammonitida,Desmoceratidae,Beudanticeras,fast-moving,nektonic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Ammonitoceras,0,Mollusca,Cephalopoda,Ammonitida,Ancyloceratidae,Ammonitoceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Ammonoceratites,0,Mollusca,Cephalopoda,Ammonitida,Lytoceratidae,Lytoceras,fast-moving,nektonic,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Amphidonte,0,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Amphidonte (Ceratostreon),"stationary, attached",epifaunal,0,31,12,2,3,7,58,18,15,4,2,0,0,0,5,0,1,4,2,2,10,4,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Amphitriscoelus,0,Mollusca,Bivalvia,Hippuritida,Caprinuloideidae,Amphitriscoelus,"stationary, attached","intermediate-level epifaunal, gregarious",0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,7,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,No
Ampullina,0,Mollusca,Gastropoda,Architaenioglossa,Ampullinidae,Ampullina,actively mobile,epifaunal,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Ampullospira,0,Mollusca,Gastropoda,Architaenioglossa,Ampullinidae,Ampullina (Ampullospira),actively mobile,epifaunal,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Amuletum,0,Mollusca,Gastropoda,Neogastropoda,Turridae,Amuletum (Amuletum),actively mobile,epifaunal,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Amusium,0,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Propeamussium,actively mobile,epifaunal,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Anadara,0,Mollusca,Bivalvia,Arcida,Arcidae,Anadara (Cunearca),facultatively mobile,infaunal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Anadesmoceras,0,Mollusca,Cephalopoda,Ammonitida,Cleoniceratidae,Anadesmoceras,fast-moving,nektonic,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anagastroplites,0,Mollusca,Cephalopoda,Ammonitida,Hoplitidae,Anagastroplites,fast-moving,nektonic,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anagaudryceras,0,Mollusca,Cephalopoda,Ammonitida,Gaudryceratidae,Anagaudryceras,fast-moving,nektonic,0,34,5,3,1,1,7,79,0,0,0,0,0,0,4,1,0,3,22,2,21,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Anahamulina,0,Mollusca,Cephalopoda,Ammonoidea,Hamulinidae,Anahamulina,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Anahoplites,0,Mollusca,Cephalopoda,Ammonitida,Hoplitidae,Anahoplites,fast-moving,nektonic,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anaklinoceras,0,Mollusca,Cephalopoda,Ammonitida,Nostoceratidae,Anaklinoceras,fast-moving,nektonic,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Anapachydiscus,0,Mollusca,Cephalopoda,Ammonitida,Pachydiscidae,Menuites,fast-moving,nektonic,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Anapuzosia,0,Mollusca,Cephalopoda,Ammonitida,Desmoceratidae,Puzosia (Anapuzosia),fast-moving,nektonic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anatimya,0,Mollusca,Bivalvia,Pandorida,Laternulidae,Anatimya,facultatively mobile,deep infaunal,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Anatina,0,Mollusca,Bivalvia,Veneroidei,Anatinellidae,Anatina,facultatively mobile,infaunal,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Anatoma,0,Mollusca,Gastropoda,0,Anatomidae,Anatoma,actively mobile,epifaunal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Anchura,Late Campanian,Mollusca,Gastropoda,0,Aporrhaidae,Anchura,actively mobile,semi-infaunal,2,4,33,3,2,0,0,1,0,0,0,0,0,0,5,13,15,3,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,No
Ancillus,0,Mollusca,Gastropoda,Neogastropoda,Olividae,Ancilla (Ancillus),actively mobile,epifaunal,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Ancyloceras,0,Mollusca,Cephalopoda,Ammonitida,Ancyloceratidae,Audouliceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Andiceras,0,Mollusca,Cephalopoda,Ammonitida,Neocomitidae,Andiceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Aneuretoceras,0,Mollusca,Cephalopoda,Ammonitida,Collignoniceratidae,Aneuretoceras,fast-moving,nektonic,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Angaria,0,Mollusca,Gastropoda,0,Turbinidae,Angaria,actively mobile,epifaunal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Anglesites,0,Mollusca,Cephalopoda,Ammonitida,Ancyloceratidae,Anglesites,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anglonautilus,0,Mollusca,Cephalopoda,Nautilida,Nautilidae,Anglonautilus,actively mobile,nektonic,0,7,2,0,0,0,4,0,13,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,No
Angulathilda,0,Mollusca,Gastropoda,Allogastropoda,Mathildidae,Angulathilda,actively mobile,epifaunal,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Angulithes,0,Mollusca,Cephalopoda,Nautilida,Nautilidae,Angulithes,actively mobile,nektonic,0,0,0,1,2,2,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,No
Anisocardia,0,Mollusca,Bivalvia,Veneroidei,Arcticidae,Anisocardia,facultatively mobile,infaunal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Anisoceras,Middle Albian,Mollusca,Cephalopoda,Ammonitida,Anisoceratidae,Anisoceras,fast-moving,nektonic,0,0,0,0,0,2,4,46,0,0,0,0,0,0,0,0,0,0,2,0,42,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Anisomyon,0,Mollusca,Gastropoda,Basommatophora,Siphonariidae,Anisomyon,"facultatively mobile, attached",epifaunal,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,No
Ankinatsytes,0,Mollusca,Cephalopoda,Ammonitida,Nostoceratidae,Ankinatsytes,fast-moving,nektonic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Anodonta,0,Mollusca,Bivalvia,Unionida,Unionidae,Anodonta,facultatively mobile,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Anomalofusus,0,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Anomalofusus,actively mobile,epifaunal,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No
Anomia,Middle Campanian,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,"stationary, attached, epibiont",epifaunal,2,416,31,0,0,1,0,3,3,2,2,0,0,0,0,11,2,8,0,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
Antarctiranella,0,Mollusca,Gastropoda,0,Ranellidae,Antarctiranella,actively mobile,epifaunal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
Antarctiteuthis,0,Mollusca,Cephalopoda,Belemnitida,Belemnotheutidae,Antarctiteuthis,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Antarctodarwinella,0,Mollusca,Gastropoda,0,Struthiolariidae,Antarctodarwinella,actively mobile,epifaunal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
